156
-100,-100
-95,53
-93,-96
-93,-32
-88,-40
-87,-5
-87,16
-87,68
-86,-18
-84,-61
-84,9
-84,55
-83,-6
-83,35
-81,-10
-79,-5
-79,85
-78,6
-78,68
-75,-13
-74,-62
-69,76
-67,-42
-64,85
-63,4
-59,75
-58,-15
-58,79
-57,-88
-57,-45
-57,17
-57,64
-56,83
-53,-49
-50,33
-49,-71
-47,-79
-46,-79
-46,46
-45,29
-45,86
-44,-85
-44,58
-43,83
-41,-94
-41,75
-40,-18
-40,98
-38,23
-38,62
-37,45
-36,-63
-35,-8
-31,9
-25,-62
-24,-76
-22,31
-20,-42
-20,-4
-20,95
-18,-1
-16,-81
-16,-15
-13,-97
-13,-18
-13,-11
-11,-6
-9,25
-9,94
-8,-97
-8,14
-4,54
-1,-32
-1,7
-1,33
0,-71
0,44
2,-26
5,-58
5,87
7,-93
9,87
11,41
13,10
13,50
16,-82
17,32
19,72
22,33
23,21
25,-49
26,18
27,-45
27,29
27,95
28,-48
29,-94
29,-91
33,21
34,76
35,75
35,90
37,54
37,60
39,36
39,55
43,-16
44,-41
44,-5
46,71
53,-39
54,-82
54,-58
56,7
60,88
61,95
63,-19
64,-55
64,-16
64,37
65,11
65,27
67,51
69,-89
70,-93
71,-63
72,-19
72,-12
72,4
76,-37
76,-4
77,75
79,33
80,-75
81,52
82,94
83,38
84,60
85,-66
85,-61
85,-22
86,1
87,39
87,66
88,-57
90,-74
90,9
91,-96
93,-58
93,4
94,-52
95,24
99,-79
99,-58
99,7
100,-75
91
-100,-9
-99,86
-98,-33
-98,-14
-96,36
-94,-63
-94,-61
-90,19
-89,10
-86,63
-85,94
-84,-71
-81,14
-81,53
-79,27
-76,81
-75,-29
-75,77
-74,61
-73,85
-71,9
-66,-43
-63,-7
-55,-30
-53,-92
-51,-18
-47,-17
-41,-62
-37,-43
-35,56
-34,-77
-33,-46
-32,93
-31,-89
-30,71
-28,-60
-28,22
-28,96
-26,5
-24,-72
-22,53
-21,-9
-20,-64
-19,-80
-11,-31
0,-72
1,29
5,99
6,-38
8,-78
11,-100
11,-35
21,85
30,57
33,-42
36,-88
37,34
40,63
43,-35
44,-43
44,35
47,-76
48,61
51,21
53,46
54,-70
55,67
57,66
60,20
64,91
65,-81
66,-72
69,99
70,-96
73,-98
75,50
76,-16
76,77
77,61
80,84
80,85
81,-83
82,63
84,-32
85,-84
85,9
86,-52
89,52
95,-27
97,-78
100,43
